genome	protein_id	ko	evalue	score
GCF_036210315.1	WP_003184100.1	K04103	3.4e-68	228.5
GCF_036210315.1	WP_003183411.1	K06390	1.4e-130	433.6
GCF_036210315.1	WP_003184312.1	K07636	4.3e-124	413.2
GCF_036210315.1	WP_003183084.1	K07657	8.1e-83	276.3
GCF_036210315.1	WP_061565947.1	K16531	1.8e-20	71.0
GCF_036210355.1	WP_020450993.1	K00366	3.2e-85	284.9
GCF_036210355.1	WP_025810124.1	K00372	3.7e-278	923.4
GCF_036210355.1	WP_020452100.1	K01077	6.3e-101	337.1
GCF_036210355.1	WP_143261176.1	K01113	5.1e-168	558.9
GCF_036210355.1	WP_023857444.1	K01505	1.9e-16	57.8
GCF_036210355.1	WP_020451550.1	K01915	2.3e-108	361.7
GCF_036210355.1	WP_025810704.1	K02406	9e-134	445.4
GCF_036210355.1	WP_020452604.1	K02556	4.8e-95	317.0
GCF_036210355.1	WP_020451148.1	K02557	8.8e-73	243.9
GCF_036210355.1	WP_145608119.1	K03407	4.5e-223	740.9
GCF_036210355.1	WP_003181796.1	K03413	2.5e-46	156.7
GCF_036210355.1	WP_020449857.1	K03833	6.1e-79	264.5
GCF_036210355.1	WP_023857889.1	K04103	7.5e-68	227.3
GCF_036210355.1	WP_023855174.1	K06390	7.9e-131	434.5
GCF_036210355.1	WP_020452551.1	K07636	1.1e-123	411.9
GCF_036210355.1	WP_020451999.1	K07657	4.4e-83	277.2
GCF_036210355.1	WP_143260977.1	K16531	2.7e-21	73.7
GCF_036210515.1	WP_265627298.1	K00366	1.8e-84	282.4
GCF_036210515.1	WP_265624830.1	K00372	1.4e-278	924.9
GCF_036210515.1	WP_265626201.1	K01077	2.3e-114	381.4
GCF_036210515.1	WP_265624959.1	K01113	3.4e-167	556.2
GCF_036210515.1	WP_265626578.1	K01505	8e-16	55.7
GCF_036210515.1	WP_025811550.1	K01915	1.6e-108	362.2
GCF_036210515.1	WP_265625518.1	K02406	9.7e-130	432.1
GCF_036210515.1	WP_265625930.1	K02556	6.3e-95	316.6
GCF_036210515.1	WP_243940001.1	K02557	4.5e-73	244.9
GCF_036210515.1	WP_265627058.1	K03407	3.3e-224	744.6
GCF_036210515.1	WP_003181796.1	K03413	2.5e-46	156.7
GCF_036210515.1	WP_265625136.1	K03833	3.5e-79	265.3
GCF_036210515.1	WP_265626043.1	K04103	1.7e-67	226.2
GCF_036210515.1	WP_265626357.1	K06390	8.3e-130	431.1
GCF_036210515.1	WP_265625964.1	K07636	3.3e-124	413.6
GCF_036210515.1	WP_003183084.1	K07657	8.1e-83	276.3
GCF_036210515.1	WP_265626583.1	K16531	2.3e-21	74.0
GCF_036210525.1	WP_265627298.1	K00366	1.8e-84	282.4
GCF_036210525.1	WP_265624830.1	K00372	1.4e-278	924.9
GCF_036210525.1	WP_265626201.1	K01077	2.3e-114	381.4
GCF_036210525.1	WP_265624959.1	K01113	3.5e-167	556.2
GCF_036210525.1	WP_265626578.1	K01505	8e-16	55.7
GCF_036210525.1	WP_025811550.1	K01915	1.6e-108	362.2
GCF_036210525.1	WP_265625518.1	K02406	9.8e-130	432.1
GCF_036210525.1	WP_265625930.1	K02556	6.3e-95	316.6
GCF_036210525.1	WP_243940001.1	K02557	4.5e-73	244.9
GCF_036210525.1	WP_265627058.1	K03407	3.3e-224	744.6
GCF_036210525.1	WP_003181796.1	K03413	2.5e-46	156.7
GCF_036210525.1	WP_265625136.1	K03833	3.5e-79	265.3
GCF_036210525.1	WP_265626043.1	K04103	1.7e-67	226.2
GCF_036210525.1	WP_265626357.1	K06390	8.3e-130	431.1
GCF_036210525.1	WP_265625964.1	K07636	3.3e-124	413.6
GCF_036210525.1	WP_003183084.1	K07657	8.2e-83	276.3
GCF_036210525.1	WP_265626583.1	K16531	2.3e-21	74.0
GCF_037104725.1	WP_336471569.1	K00366	3.2e-208	691.7
GCF_037104725.1	WP_336473677.1	K00372	7.5e-172	571.8
GCF_037104725.1	WP_336471186.1	K01077	2.1e-118	395.0
GCF_037104725.1	WP_336472124.1	K01505	1.5e-13	48.3
GCF_037104725.1	WP_090912947.1	K01915	1.4e-108	362.5
GCF_037104725.1	WP_336471493.1	K03413	3.8e-41	139.9
GCF_037104725.1	WP_090918574.1	K03833	2.6e-76	255.9
GCF_037104725.1	WP_336474714.1	K03834	2.9e-21	74.0
GCF_037104725.1	WP_336474714.1	K03837	2.9e-169	561.4
GCF_037104725.1	WP_336474086.1	K04103	2.8e-65	219.0
GCF_037104725.1	WP_090913888.1	K06390	3.2e-131	435.9
GCF_037104725.1	WP_336471022.1	K07636	1.9e-126	421.1
GCF_037104725.1	WP_090916277.1	K07657	1.1e-83	279.3
GCF_037104725.1	WP_336472709.1	K16531	5.5e-29	99.3
GCF_037201805.1	WP_338754499.1	K00366	8.5e-209	693.1
GCF_037201805.1	WP_338754404.1	K00372	2.4e-177	589.5
GCF_037201805.1	WP_338754374.1	K01113	8.7e-15	51.9
GCF_037201805.1	WP_338752122.1	K01505	4.5e-15	52.9
GCF_037201805.1	WP_338754156.1	K01915	3.6e-106	354.1
GCF_037201805.1	WP_338752741.1	K02406	1.1e-133	444.8
GCF_037201805.1	WP_338750721.1	K02556	2.9e-95	317.4
GCF_037201805.1	WP_338750719.1	K02557	2e-75	252.3
GCF_037201805.1	WP_338754034.1	K03407	1.9e-230	764.9
GCF_037201805.1	WP_338751514.1	K03413	3.2e-52	175.8
GCF_037201805.1	WP_338752609.1	K03833	1e-77	260.2
GCF_037201805.1	WP_413789060.1	K04103	5.4e-69	230.8
GCF_037201805.1	WP_338754787.1	K06390	4.7e-127	421.8
GCF_037201805.1	WP_338750608.1	K07636	7e-121	402.4
GCF_037201805.1	WP_338750610.1	K07657	2.8e-85	284.2
GCF_037201805.1	WP_338752200.1	K16531	1.8e-24	83.9
GCF_037889395.1	WP_003151735.1	K00366	1.7e-83	279.0
GCF_037889395.1	WP_239819471.1	K00372	2.5e-183	609.4
GCF_037889395.1	WP_003155322.1	K01077	1.3e-110	368.9
GCF_037889395.1	WP_014304274.1	K01113	1.6e-167	557.1
GCF_037889395.1	WP_014305305.1	K01505	1e-15	55.1
GCF_037889395.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_037889395.1	WP_007407474.1	K02406	6.8e-138	458.8
GCF_037889395.1	WP_015387843.1	K02556	6.6e-97	322.9
GCF_037889395.1	WP_003154685.1	K02557	1.9e-72	242.6
GCF_037889395.1	WP_015388231.1	K03407	1.2e-225	749.2
GCF_037889395.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_037889395.1	WP_003156451.1	K03833	3e-79	265.3
GCF_037889395.1	WP_239819549.1	K03834	4.9e-20	69.6
GCF_037889395.1	WP_239819549.1	K03837	2.2e-170	564.8
GCF_037889395.1	WP_171463436.1	K04103	1.5e-72	242.6
GCF_037889395.1	WP_171463563.1	K06390	1e-130	433.9
GCF_037889395.1	WP_219194677.1	K07636	4.8e-126	419.5
GCF_037889395.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_037889395.1	WP_088005508.1	K16531	3.5e-17	60.0
GCF_040256795.1	WP_350252779.1	K00366	2e-84	282.1
GCF_040256795.1	WP_105991536.1	K00372	2e-279	927.5
GCF_040256795.1	WP_095714196.1	K01077	2e-116	388.2
GCF_040256795.1	WP_248337588.1	K01113	1.5e-164	547.3
GCF_040256795.1	WP_105991731.1	K01505	2.9e-15	53.8
GCF_040256795.1	WP_105954294.1	K01915	2.8e-107	358.0
GCF_040256795.1	WP_024123018.1	K02406	2.7e-128	427.2
GCF_040256795.1	WP_105953384.1	K02556	8.8e-96	319.3
GCF_040256795.1	WP_105955530.1	K02557	1.7e-71	239.6
GCF_040256795.1	WP_105991188.1	K03407	3.6e-226	751.0
GCF_040256795.1	WP_010334256.1	K03413	1.5e-47	160.6
GCF_040256795.1	WP_010332768.1	K03833	6.8e-79	264.2
GCF_040256795.1	WP_350254888.1	K04103	3.6e-70	234.9
GCF_040256795.1	WP_350253317.1	K06390	4.4e-134	445.1
GCF_040256795.1	WP_350253088.1	K07636	1.2e-125	418.3
GCF_040256795.1	WP_010334777.1	K07657	4.4e-83	277.1
GCF_040256795.1	WP_059336621.1	K16531	2.2e-18	64.1
GCF_041225435.1	WP_369903604.1	K00366	1.5e-206	685.9
GCF_041225435.1	WP_369901093.1	K00372	2.8e-173	576.3
GCF_041225435.1	WP_369902546.1	K01077	5.9e-118	393.3
GCF_041225435.1	WP_369900624.1	K01505	9.4e-15	52.1
GCF_041225435.1	WP_369903082.1	K01915	7.3e-107	356.6
GCF_041225435.1	WP_369900227.1	K02406	6.4e-103	343.5
GCF_041225435.1	WP_369902390.1	K02556	3.7e-85	284.3
GCF_041225435.1	WP_369902391.1	K02557	3.5e-73	245.1
GCF_041225435.1	WP_369900275.1	K03407	2.3e-208	692.1
GCF_041225435.1	WP_369900277.1	K03413	1.7e-42	144.1
GCF_041225435.1	WP_369901494.1	K03833	7.7e-77	257.4
GCF_041225435.1	WP_369901672.1	K04103	5.2e-48	161.7
GCF_041225435.1	WP_369902663.1	K06390	4.7e-131	435.1
GCF_041225435.1	WP_369902318.1	K07636	1.5e-128	427.8
GCF_041225435.1	WP_369901597.1	K07657	1.4e-83	278.7
GCF_041225435.1	WP_369902505.1	K16531	4.6e-23	79.5
GCF_041431275.1	WP_212046643.1	K00366	5.2e-86	287.2
GCF_041431275.1	WP_212045626.1	K00372	1.4e-85	285.9
GCF_041431275.1	WP_253622777.1	K01077	1.9e-105	351.7
GCF_041431275.1	WP_335365607.1	K01505	2.1e-15	54.1
GCF_041431275.1	WP_003211015.1	K01915	8.2e-109	362.9
GCF_041431275.1	WP_212046753.1	K02406	8e-132	438.7
GCF_041431275.1	WP_003212085.1	K02556	4.3e-93	310.3
GCF_041431275.1	WP_003211671.1	K02557	1.3e-68	229.9
GCF_041431275.1	WP_212045863.1	K03407	2.5e-224	744.8
GCF_041431275.1	WP_003212360.1	K03413	3.8e-47	159.2
GCF_041431275.1	WP_003217109.1	K03833	1e-78	263.4
GCF_041431275.1	WP_050943634.1	K04103	1.4e-72	242.7
GCF_041431275.1	WP_137054986.1	K06390	7.2e-133	440.9
GCF_041431275.1	WP_284906657.1	K07636	9.8e-125	415.1
GCF_041431275.1	WP_003216596.1	K07657	3.5e-84	280.6
GCF_041431275.1	WP_212046163.1	K16531	1.8e-19	67.5
GCF_044905085.1	WP_003151735.1	K00366	1.8e-83	279.0
GCF_044905085.1	WP_201488872.1	K00372	2.6e-183	609.4
GCF_044905085.1	WP_201488845.1	K01077	1.3e-110	368.9
GCF_044905085.1	WP_014304274.1	K01113	1.6e-167	557.1
GCF_044905085.1	WP_014305305.1	K01505	1.1e-15	55.1
GCF_044905085.1	WP_003154048.1	K01915	1.4e-108	362.3
GCF_044905085.1	WP_057080256.1	K02406	1.1e-139	464.8
GCF_044905085.1	WP_156735661.1	K02556	2.5e-96	321.1
GCF_044905085.1	WP_003154685.1	K02557	2e-72	242.6
GCF_044905085.1	WP_015388231.1	K03407	1.3e-225	749.2
GCF_044905085.1	WP_003154238.1	K03413	1.3e-47	160.8
GCF_044905085.1	WP_003156451.1	K03833	3.1e-79	265.3
GCF_044905085.1	WP_014416943.1	K04103	4.8e-72	241.0
GCF_044905085.1	WP_201489005.1	K06390	1.5e-130	433.4
GCF_044905085.1	WP_003152458.1	K07636	5.5e-126	419.3
GCF_044905085.1	WP_003153397.1	K07657	1.5e-83	278.7
GCF_044905085.1	WP_088005508.1	K16531	3.6e-17	60.0
GCF_045344285.1	WP_043867419.1	K00366	1.1e-83	279.6
GCF_045344285.1	WP_406795379.1	K00372	1.3e-180	600.4
GCF_045344285.1	WP_003155322.1	K01077	1.2e-110	368.9
GCF_045344285.1	WP_173602926.1	K01113	1.7e-167	556.9
GCF_045344285.1	WP_014305305.1	K01505	9.9e-16	55.1
GCF_045344285.1	WP_003154048.1	K01915	1.2e-108	362.3
GCF_045344285.1	WP_014305925.1	K02406	6.2e-138	458.9
GCF_045344285.1	WP_003152386.1	K02556	5.4e-97	323.1
GCF_045344285.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_045344285.1	WP_015388231.1	K03407	1.2e-225	749.2
GCF_045344285.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_045344285.1	WP_003156451.1	K03833	2.8e-79	265.3
GCF_045344285.1	WP_024084930.1	K03834	2e-20	70.9
GCF_045344285.1	WP_024084930.1	K03837	1.9e-170	564.9
GCF_045344285.1	WP_014304370.1	K04103	1.5e-72	242.6
GCF_045344285.1	WP_003153125.1	K06390	9.7e-131	433.9
GCF_045344285.1	WP_014305565.1	K07636	1.2e-125	418.2
GCF_045344285.1	WP_014305328.1	K07657	2.4e-83	277.8
GCF_045344285.1	WP_406795428.1	K16531	6.6e-17	59.0
GCF_045760535.1	WP_353575258.1	K00366	1.3e-83	279.4
GCF_045760535.1	WP_353574880.1	K00372	7e-182	604.6
GCF_045760535.1	WP_353574838.1	K01077	2.5e-111	371.2
GCF_045760535.1	WP_353575511.1	K01113	1.3e-167	557.4
GCF_045760535.1	WP_070082033.1	K01505	1.3e-15	54.9
GCF_045760535.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_045760535.1	WP_015387631.1	K02406	8.3e-139	461.8
GCF_045760535.1	WP_156735661.1	K02556	2.4e-96	321.1
GCF_045760535.1	WP_069473375.1	K02557	5.6e-73	244.4
GCF_045760535.1	WP_017417784.1	K03407	1.1e-225	749.3
GCF_045760535.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_045760535.1	WP_003156451.1	K03833	3e-79	265.3
GCF_045760535.1	WP_039252713.1	K04103	4.9e-72	240.9
GCF_045760535.1	WP_015388013.1	K06390	1.6e-130	433.3
GCF_045760535.1	WP_003152458.1	K07636	5.3e-126	419.3
GCF_045760535.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_045760535.1	WP_088005508.1	K16531	3.5e-17	60.0
GCF_049354995.1	WP_069473576.1	K00366	1e-83	279.7
GCF_049354995.1	WP_088037082.1	K00372	3.7e-183	608.8
GCF_049354995.1	WP_003155322.1	K01077	1.2e-110	368.9
GCF_049354995.1	WP_043866804.1	K01113	6e-168	558.4
GCF_049354995.1	WP_025852687.1	K01505	9.6e-16	55.2
GCF_049354995.1	WP_003154048.1	K01915	1.2e-108	362.3
GCF_049354995.1	WP_015387631.1	K02406	7.9e-139	461.8
GCF_049354995.1	WP_003152386.1	K02556	5.5e-97	323.1
GCF_049354995.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_049354995.1	WP_015388231.1	K03407	1.2e-225	749.2
GCF_049354995.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_049354995.1	WP_003156451.1	K03833	2.9e-79	265.3
GCF_049354995.1	WP_014416943.1	K04103	4.4e-72	241.0
GCF_049354995.1	WP_058906180.1	K06390	6e-131	434.6
GCF_049354995.1	WP_025853223.1	K07636	5.7e-126	419.2
GCF_049354995.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_049354995.1	WP_088005508.1	K16531	3.3e-17	60.0
GCF_050908195.1	WP_003243849.1	K00366	3.6e-84	281.3
GCF_050908195.1	WP_128737487.1	K00372	2.8e-280	930.3
GCF_050908195.1	WP_077671245.1	K01077	1.7e-113	378.5
GCF_050908195.1	WP_014475691.1	K01113	1.6e-165	550.5
GCF_050908195.1	WP_021481540.1	K01505	8.6e-15	52.2
GCF_050908195.1	WP_003231737.1	K01915	1.9e-107	358.6
GCF_050908195.1	WP_015714795.1	K02406	3.1e-128	427.0
GCF_050908195.1	WP_015714528.1	K02556	1.5e-94	315.2
GCF_050908195.1	WP_003232473.1	K02557	4.3e-72	241.5
GCF_050908195.1	WP_286317555.1	K03407	3.4e-225	747.8
GCF_050908195.1	WP_014476812.1	K03413	5.5e-48	162.1
GCF_050908195.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_050908195.1	WP_021481718.1	K04103	4.1e-71	238.0
GCF_050908195.1	WP_015714242.1	K06390	6.6e-132	437.9
GCF_050908195.1	WP_004398493.1	K07636	3.7e-125	416.6
GCF_050908195.1	WP_003246107.1	K07657	3e-84	280.9
GCF_050908195.1	WP_032726037.1	K16531	1.2e-20	71.6
GCF_050908245.1	WP_003243849.1	K00366	3.6e-84	281.3
GCF_050908245.1	WP_128737487.1	K00372	2.8e-280	930.3
GCF_050908245.1	WP_077671245.1	K01077	1.7e-113	378.5
GCF_050908245.1	WP_014475691.1	K01113	1.6e-165	550.5
GCF_050908245.1	WP_021481540.1	K01505	8.7e-15	52.2
GCF_050908245.1	WP_003231737.1	K01915	1.9e-107	358.6
GCF_050908245.1	WP_015714795.1	K02406	3.1e-128	427.0
GCF_050908245.1	WP_015714528.1	K02556	1.5e-94	315.2
GCF_050908245.1	WP_003232473.1	K02557	4.3e-72	241.5
GCF_050908245.1	WP_286317555.1	K03407	3.4e-225	747.8
GCF_050908245.1	WP_014476812.1	K03413	5.5e-48	162.1
GCF_050908245.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_050908245.1	WP_021481718.1	K04103	4.1e-71	238.0
GCF_050908245.1	WP_015714242.1	K06390	6.6e-132	437.9
GCF_050908245.1	WP_004398493.1	K07636	3.7e-125	416.6
GCF_050908245.1	WP_003246107.1	K07657	3e-84	280.9
GCF_050908245.1	WP_032726037.1	K16531	1.2e-20	71.6
GCF_051131645.1	WP_052827842.1	K00366	2e-83	278.7
GCF_051131645.1	WP_434685298.1	K00372	5.9e-181	601.5
GCF_051131645.1	WP_077721994.1	K01077	3.3e-111	370.8
GCF_051131645.1	WP_077721748.1	K01113	3.8e-168	559.1
GCF_051131645.1	WP_077722521.1	K01505	8.7e-16	55.4
GCF_051131645.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_051131645.1	WP_015387631.1	K02406	8.1e-139	461.8
GCF_051131645.1	WP_003152386.1	K02556	5.6e-97	323.1
GCF_051131645.1	WP_014417581.1	K02557	1.8e-72	242.7
GCF_051131645.1	WP_017417784.1	K03407	1.1e-225	749.3
GCF_051131645.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_051131645.1	WP_003156451.1	K03833	2.9e-79	265.3
GCF_051131645.1	WP_077721822.1	K04103	4e-72	241.2
GCF_051131645.1	WP_077722588.1	K06390	1.8e-131	436.4
GCF_051131645.1	WP_176283463.1	K07636	5.2e-126	419.4
GCF_051131645.1	WP_045510934.1	K07657	1.2e-83	278.9
GCF_051131645.1	WP_088005508.1	K16531	3.4e-17	60.0
GCF_052373815.1	WP_014665377.1	K00366	8.7e-85	283.4
GCF_052373815.1	WP_136654880.1	K00372	4.2e-279	926.5
GCF_052373815.1	WP_083252930.1	K01077	1.3e-113	378.9
GCF_052373815.1	WP_136654899.1	K01113	3.1e-166	553.0
GCF_052373815.1	WP_136654153.1	K01505	2.2e-14	50.9
GCF_052373815.1	WP_014664076.1	K01915	3.1e-107	357.9
GCF_052373815.1	WP_069150414.1	K02406	2.2e-128	427.6
GCF_052373815.1	WP_040082125.1	K02556	4e-94	313.9
GCF_052373815.1	WP_014663750.1	K02557	8.5e-72	240.7
GCF_052373815.1	WP_444500887.1	K03407	1.4e-224	745.8
GCF_052373815.1	WP_014476812.1	K03413	5.8e-48	162.1
GCF_052373815.1	WP_003242008.1	K03833	3e-79	265.5
GCF_052373815.1	WP_040084136.1	K04103	1.2e-71	239.9
GCF_052373815.1	WP_040082660.1	K06390	1.7e-132	439.9
GCF_052373815.1	WP_136654335.1	K07636	3.7e-125	416.7
GCF_052373815.1	WP_040082743.1	K07657	1e-83	279.3
GCF_052373815.1	WP_136654149.1	K16531	1.3e-19	68.2
GCF_052783145.1	WP_032876519.1	K00366	1.8e-83	278.9
GCF_052783145.1	WP_032872794.1	K00372	1e-276	918.4
GCF_052783145.1	WP_032874278.1	K01077	1.3e-111	372.1
GCF_052783145.1	WP_032872722.1	K01113	1.6e-167	557.0
GCF_052783145.1	WP_032873256.1	K01505	8e-16	55.5
GCF_052783145.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_052783145.1	WP_032876173.1	K02406	1.8e-138	460.6
GCF_052783145.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_052783145.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_052783145.1	WP_032874918.1	K03407	9.6e-226	749.5
GCF_052783145.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_052783145.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_052783145.1	WP_014304370.1	K04103	1.5e-72	242.6
GCF_052783145.1	WP_032874043.1	K06390	1.7e-130	433.2
GCF_052783145.1	WP_032873702.1	K07636	6.5e-126	419.0
GCF_052783145.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_052783145.1	WP_087920803.1	K16531	7.6e-18	62.1
GCF_052976745.1	WP_059377376.1	K00366	5.5e-87	290.5
GCF_052976745.1	WP_058838561.1	K00372	1.7e-86	288.9
GCF_052976745.1	WP_268465435.1	K01077	2e-105	351.7
GCF_052976745.1	WP_039179544.1	K01505	7.4e-15	52.3
GCF_052976745.1	WP_007499421.1	K01915	2.2e-108	361.5
GCF_052976745.1	WP_058838866.1	K02406	5.3e-134	445.9
GCF_052976745.1	WP_024424680.1	K02556	1e-92	309.1
GCF_052976745.1	WP_039178076.1	K02557	1.8e-69	232.8
GCF_052976745.1	WP_039178565.1	K03407	9.7e-225	746.1
GCF_052976745.1	WP_007499584.1	K03413	1.7e-47	160.3
GCF_052976745.1	WP_034283892.1	K03833	2.5e-79	265.5
GCF_052976745.1	WP_025092480.1	K04103	1.5e-71	239.3
GCF_052976745.1	WP_024428002.1	K06390	2.8e-131	435.7
GCF_052976745.1	WP_058838291.1	K07636	8.3e-124	412.0
GCF_052976745.1	WP_039180559.1	K07657	3.5e-84	280.6
GCF_052976745.1	WP_025092425.1	K16531	4.3e-30	102.6
GCF_054187945.1	WP_012118438.1	K00366	2.6e-83	278.3
GCF_054187945.1	WP_011996307.1	K00372	4.1e-277	919.7
GCF_054187945.1	WP_012117173.1	K01077	7e-111	369.7
GCF_054187945.1	WP_011996268.1	K01113	7.6e-168	558.1
GCF_054187945.1	WP_012117857.1	K01505	1.7e-15	54.4
GCF_054187945.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_054187945.1	WP_007614094.1	K02406	5.3e-138	459.1
GCF_054187945.1	WP_012118208.1	K02556	1.3e-96	321.8
GCF_054187945.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_054187945.1	WP_023356898.1	K03407	3.5e-225	747.6
GCF_054187945.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_054187945.1	WP_007410400.1	K03833	2e-79	265.8
GCF_054187945.1	WP_012116839.1	K04103	1.5e-71	239.3
GCF_054187945.1	WP_012117969.1	K06390	8.9e-131	434.1
GCF_054187945.1	WP_012118165.1	K07636	6.1e-126	419.1
GCF_054187945.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_054187945.1	WP_088461189.1	K16531	1.8e-17	60.9
GCF_054889405.1	WP_052827842.1	K00366	2e-83	278.7
GCF_054889405.1	WP_098080955.1	K00372	9.2e-277	918.6
GCF_054889405.1	WP_098081227.1	K01077	2e-111	371.5
GCF_054889405.1	WP_098080925.1	K01113	1.5e-167	557.1
GCF_054889405.1	WP_015417720.1	K01505	1.1e-15	55.0
GCF_054889405.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_054889405.1	WP_015387631.1	K02406	8e-139	461.8
GCF_054889405.1	WP_061581295.1	K02556	2.1e-96	321.2
GCF_054889405.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_054889405.1	WP_098081405.1	K03407	3.2e-225	747.7
GCF_054889405.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_054889405.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_054889405.1	WP_014304370.1	K04103	1.5e-72	242.6
GCF_054889405.1	WP_080130391.1	K06390	8.1e-131	434.2
GCF_054889405.1	WP_461842029.1	K07636	1.1e-124	415.0
GCF_054889405.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_054889405.1	WP_098081989.1	K16531	2.4e-17	60.5
GCF_054966515.1	WP_032876519.1	K00366	1.8e-83	278.9
GCF_054966515.1	WP_032872794.1	K00372	1e-276	918.4
GCF_054966515.1	WP_032874278.1	K01077	1.3e-111	372.1
GCF_054966515.1	WP_032872722.1	K01113	1.7e-167	557.0
GCF_054966515.1	WP_032873256.1	K01505	8e-16	55.5
GCF_054966515.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_054966515.1	WP_032876173.1	K02406	1.8e-138	460.6
GCF_054966515.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_054966515.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_054966515.1	WP_032874918.1	K03407	9.6e-226	749.5
GCF_054966515.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_054966515.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_054966515.1	WP_014304370.1	K04103	1.5e-72	242.6
GCF_054966515.1	WP_032874043.1	K06390	1.7e-130	433.2
GCF_054966515.1	WP_032873702.1	K07636	6.5e-126	419.0
GCF_054966515.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_054966515.1	WP_087920803.1	K16531	7.6e-18	62.1
GCF_055475255.1	WP_414831329.1	K00366	6.7e-84	280.2
GCF_055475255.1	WP_464862830.1	K00372	9.6e-183	607.4
GCF_055475255.1	WP_099745082.1	K01077	2.2e-111	371.4
GCF_055475255.1	WP_366971573.1	K01113	4e-168	559.0
GCF_055475255.1	WP_342007891.1	K01505	3.8e-14	49.9
GCF_055475255.1	WP_099744029.1	K01915	3.2e-109	364.2
GCF_055475255.1	WP_007614094.1	K02406	5.2e-138	459.1
GCF_055475255.1	WP_016938548.1	K02556	8.2e-98	325.8
GCF_055475255.1	WP_095240808.1	K02557	2.9e-72	241.9
GCF_055475255.1	WP_064778912.1	K03407	5.5e-225	746.9
GCF_055475255.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_055475255.1	WP_003156451.1	K03833	2.8e-79	265.3
GCF_055475255.1	WP_464862622.1	K04103	9.5e-72	239.9
GCF_055475255.1	WP_464862190.1	K06390	6.9e-130	431.1
GCF_055475255.1	WP_464862265.1	K07636	2.1e-126	420.6
GCF_055475255.1	WP_003153397.1	K07657	1.3e-83	278.7
GCF_055475255.1	WP_095532179.1	K16531	1.2e-17	61.5
GCF_056493705.1	WP_044159104.1	K00366	1.2e-84	282.9
GCF_056493705.1	WP_479365569.1	K00372	1.8e-277	921.1
GCF_056493705.1	WP_479365817.1	K01077	2e-115	384.9
GCF_056493705.1	WP_059292031.1	K01113	1e-164	547.9
GCF_056493705.1	WP_059352438.1	K01505	4.1e-15	53.3
GCF_056493705.1	WP_024121509.1	K01915	5.9e-107	357.0
GCF_056493705.1	WP_193659775.1	K02406	1.1e-125	418.6
GCF_056493705.1	WP_479364307.1	K02556	1.7e-95	318.3
GCF_056493705.1	WP_059292887.1	K02557	1.3e-71	240.0
GCF_056493705.1	WP_059352913.1	K03407	4.7e-226	750.7
GCF_056493705.1	WP_010334256.1	K03413	1.6e-47	160.6
GCF_056493705.1	WP_010332768.1	K03833	6.9e-79	264.2
GCF_056493705.1	WP_479365670.1	K04103	8.1e-71	237.1
GCF_056493705.1	WP_044154635.1	K06390	4e-134	445.2
GCF_056493705.1	WP_458104208.1	K07636	1.7e-125	417.8
GCF_056493705.1	WP_010334777.1	K07657	4.5e-83	277.1
GCF_056493705.1	WP_059336621.1	K16531	2.2e-18	64.1
GCF_056504695.1	WP_003180762.1	K00366	6.2e-86	287.2
GCF_056504695.1	WP_142782138.1	K00372	9.4e-278	922.1
GCF_056504695.1	WP_003183293.1	K01077	8.7e-102	339.9
